383.288	482.598	565.368	399.104	511.682	595.451	451.523	626.966	575.759	384.083	384.931	444.945	410.725	453.638	397.667	494.924	359.447	351.032	469.043	265.966	464.94	338.793	597.485	450.03	405.624	419.435	381.717	280.324	417.05	568.35	
383.288	446.828	538.041	375.739	511.682	514.691	416.562	501.135	548.737	384.083	384.931	368.013	396.504	453.638	353.918	484.859	308.363	348.103	421.472	265.966	442.869	246.306	572.313	399.357	397.974	376.823	370.432	280.324	417.05	453.465	
310.704	414.981	482.567	365.543	420.493	294.639	394.987	412.337	487.691	347.765	384.931	277.204	363.884	416.95	302.145	409.656	295.061	342.983	408.969	265.966	341.247	246.045	461.335	399.357	316.262	368.524	370.432	276.527	279.418	443.655	
284.314	358.914	448.03	351.234	328.62	289.627	335.59	369.479	248.507	302.468	363.598	253.038	291.636	285.497	284.275	327.915	264.89	313.472	264.596	261.958	332.051	242.385	340.848	341.534	311.548	356.64	370.432	273.579	278.875	376.056	
267.728	282.518	331.805	283.099	290.613	277.836	317.799	292.716	233.248	278.252	258.159	244.455	249.285	280.945	253.101	299.516	227.584	292.304	220.481	259.086	262.798	242.08	237.253	265.709	267.088	342.251	309.684	198.908	262.462	303.699	
231.897	241.523	251.808	245.656	254.338	219.341	279.061	246.949	209.898	223.832	199.054	219.849	233.323	257.516	250.941	231.911	214.75	234.795	220.481	235.409	226.727	233.518	234.707	234.958	214.202	232.586	257.591	197.981	232.359	204.261	
207.484	198.145	232.776	190.303	209.967	192.609	208.505	215.589	200.602	184.547	191.04	192.027	204.878	235.635	181.637	203.415	195.076	216.311	198.875	199.828	204.325	203.431	214.476	204.891	177.274	191.726	202.007	189.434	200.442	187.814	
186.352	182.707	194.323	185.574	173.475	180.594	175.556	189.025	184.925	176.395	184.313	177.369	174.883	204.115	177.955	180.239	187.998	192.404	188.195	183.394	184.601	189.345	194.593	184.655	173.609	185.641	183.311	181.598	176.763	173.58	
174.036	175.444	181.409	173.105	169.638	171.606	168.854	178.189	173.487	172.509	174.386	172.757	171.969	179.64	172.5	170.698	173.209	176.337	175.979	175.225	176.325	178.965	172.605	174.785	170.216	172.7	174.52	172.176	173.157	169.855	
169.585	169.445	174.696	170.66	168.115	170.502	167.154	172.338	170.585	169.464	171.308	169.762	169.143	171.581	170.154	168.646	167.384	168.545	172.986	171.223	171.755	168.644	172.021	170.145	167.705	169.896	169.477	167.322	171.012	168.932	
167.529	168.347	170.254	169.555	166.937	169.324	166.827	167.987	167.933	164.889	167.831	168.156	167.866	167.656	168.446	167.203	167.115	167.757	170.572	167.03	169.346	167.718	167.638	167.988	166.882	169.629	169.237	165.565	168.21	167.611	
167.053	166.849	167.987	168.12	166.112	166.902	165.938	165.969	165.752	164.439	167.406	166.489	167.532	165.606	165.572	165.327	165.451	166.563	167.016	165.088	167.42	166.67	166.01	165.234	165.835	167.274	167.416	165.032	166.978	167.139	
165.085	165.921	164.976	167.041	165.513	166.293	165.039	165.807	164.913	164.323	166.596	165.865	166.554	165.295	165.428	165.109	164.85	165.204	166.786	164.573	165.402	165.067	165.53	164.828	165.267	166.03	165.742	164.977	166.929	164.968	
165.05	165.412	163.717	165.859	165.403	166.277	165.017	163.902	164.799	163.876	166.316	165.247	165.287	165.216	165.215	165.071	164.676	164.799	165.343	164.551	165.265	164.818	164.991	164.496	165.004	165.441	165.406	164.976	165.323	164.769	
164.897	165.124	163.715	165.403	165.403	165.509	164.704	163.268	164.713	163.876	165.213	165.213	165.26	164.709	164.681	164.979	164.674	164.647	165.028	164.31	164.923	164.796	164.979	164.39	164.987	165.046	164.581	164.935	165.216	164.76	
164.849	164.924	163.715	164.931	164.903	164.64	164.704	162.628	164.638	163.876	164.962	164.949	164.622	164.686	163.925	164.849	164.638	163.878	164.975	164.267	164.922	164.725	164.979	164.384	164.975	164.988	164.581	164.931	165.213	164.69	
200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	
